trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-86.531	0.021	14.29				-0.001								{SPACE}		4.968	-81.563		Welcome	
	0	-81.549	0.014	19.272				5.0													LifeHappyPreview	
	0	-76.517	0.032	24.304				0.877												472.0	LifeHappiness	
	0	-48.768	0.028	52.053				4.0													BlockHappyPreview	
	0	-44.756	0.012	56.065				1.311												536.0	BlockStartHappiness	
	0	-1.426	0.027	99.395				-0.001								5.0					ScanWait	
	1	0.011	0.011	100.832				10.0													GetReady	
1.0	1	10.041	0.03	110.862	-1.8	-1.0	9.775	3.0	955.0	1.2	Outcome1	-1.8	-0.1	0.0	No	2.0	-1.70035862589656	1.909	11.95		GetAnswer	Mixed
1.0	1	11.981	0.031	112.802	-1.8	-1.0	9.775	4.0	955.0	1.2	Outcome1	-1.8	-0.1	0.0	No		-1.70035862589656				ShowChoice	Mixed
1.0	1	16.009	0.028	116.83	-1.8	-1.0	9.775	1.0	955.0	1.2	Outcome1	-1.8	-0.1	0.0	No		-1.70035862589656				ShowResult	Mixed
1.0	1	17.029	0.02	117.85	-1.8	-1.0	9.775	2.431	955.0	1.2	Outcome1	-1.8	-0.1	0.0	No		-1.70035862589656				ISITrial	Mixed
2.0	1	19.486	0.026	120.307	13.3	2.86	11.4375	3.0	955.0	2.48	Outcome2	5.71	13.3	0.0	No	2.0	7.592298980747451	1.189	20.675		GetAnswer	Loss
2.0	1	20.707	0.032	121.528	13.3	2.86	11.4375	4.0	955.0	2.48	Outcome2	5.71	13.3	0.0	No		7.592298980747451				ShowChoice	Loss
2.0	1	24.735	0.028	125.556	13.3	2.86	11.4375	1.0	955.0	2.48	Outcome2	5.71	13.3	0.0	No		7.592298980747451				ShowResult	Loss
2.0	1	25.755	0.02	126.576	13.3	2.86	11.4375	4.568	955.0	2.48	Outcome2	5.71	13.3	0.0	No		7.592298980747451				ISITrial	Loss
3.0	1	30.352	0.029	131.173	8.92	4.46	12.5525	3.0	955.0	1.82	Outcome2	10.7	8.92	2868.0	Yes	2.0	-1.77944507361268	1.366	31.718		GetAnswer	Loss
3.0	1	31.74	0.022	132.561	8.92	4.46	12.5525	4.0	955.0	1.82	Outcome2	10.7	8.92	2868.0	Yes		-1.77944507361268				ShowChoice	Loss
3.0	1	35.768	0.028	136.589	8.92	4.46	12.5525	1.0	955.0	1.82	Outcome2	10.7	8.92	2868.0	Yes		-1.77944507361268				ShowResult	Loss
3.0	1	36.788	0.02	137.609	8.92	4.46	12.5525	3.243	955.0	1.82	Outcome2	10.7	8.92	2868.0	Yes		-1.77944507361268				ISITrial	Loss
3.0	1	42.94	0.024	143.761	8.92	4.46	12.5525	0.924	955.0	1.82	Outcome2	10.7	8.92	2868.0	Yes		-1.77944507361268			688.0	TrialHappiness	Loss
3.0	1	46.969	4.029	147.79	8.92	4.46	12.5525	3.472	955.0	1.82	Outcome2	10.7	8.92	2868.0	Yes		-1.77944507361268				ISIRate	Loss
4.0	1	50.462	0.021	151.283	6.7	3.35	13.39	3.0	955.0	3.6	Outcome1	6.7	7.9	0.0	No	2.0	-1.20215175537939	1.005	51.467		GetAnswer	Gain
4.0	1	51.482	0.014	152.303	6.7	3.35	13.39	4.0	955.0	3.6	Outcome1	6.7	7.9	0.0	No		-1.20215175537939				ShowChoice	Gain
4.0	1	55.511	0.029	156.332	6.7	3.35	13.39	1.0	955.0	3.6	Outcome1	6.7	7.9	0.0	No		-1.20215175537939				ShowResult	Gain
4.0	1	56.53	0.019	157.351	6.7	3.35	13.39	2.011	955.0	3.6	Outcome1	6.7	7.9	0.0	No		-1.20215175537939				ISITrial	Gain
5.0	1	58.57	0.029	159.391	0.87	1.0	13.4988	3.0	955.0	1.5	Outcome2	2.1	0.87	2582.5	Yes	2.0	-1.22734994337486	1.583	60.153		GetAnswer	Mixed
5.0	1	60.175	0.022	160.996	0.87	1.0	13.4988	4.0	955.0	1.5	Outcome2	2.1	0.87	2582.5	Yes		-1.22734994337486				ShowChoice	Mixed
